ticker,cumulative_returns
ADANIENT.NS,0.9961882755366949
ADANIPORTS.NS,1.0000100230093436
APOLLOHOSP.NS,1.0141125918579175
ASIANPAINT.NS,0.9625726487392174
AXISBANK.NS,1.0054599569801357
BAJAJ-AUTO.NS,1.005540772450115
BAJAJFINSV.NS,0.9973446259348763
BAJFINANCE.NS,1.0281506237902174
BEL.NS,1.109782982690547
BHARTIARTL.NS,1.0260750309745745
CIPLA.NS,1.0180678919813855
COALINDIA.NS,0.9741849229382862
DRREDDY.NS,1.0943366356715616
EICHERMOT.NS,0.9737725604431483
ETERNAL.NS,1.0260009746601406
GRASIM.NS,0.9645887921669092
HCLTECH.NS,1.0380143116066622
HDFCBANK.NS,1.0003618181920502
HDFCLIFE.NS,1.0266470631646205
HINDALCO.NS,0.9879096216989308
HINDUNILVR.NS,0.9773241574424502
ICICIBANK.NS,0.9813617875655123
INDIGO.NS,0.9676404566306164
INFY.NS,1.0356922361817187
ITC.NS,0.9775197702941831
JIOFIN.NS,1.0619133308704651
JSWSTEEL.NS,0.9823840271304669
KOTAKBANK.NS,1.0146095157172745
LT.NS,1.0160463650829867
M&M.NS,0.9642811396480797
MARUTI.NS,0.9642169709710213
MAXHEALTH.NS,1.068288937757536
NESTLEIND.NS,0.9921122535949044
NTPC.NS,0.9726026721934836
ONGC.NS,1.0385004852980486
POWERGRID.NS,0.9615255691883738
RELIANCE.NS,0.9872287890099842
SBILIFE.NS,1.0137588586779027
SBIN.NS,1.000505017581608
SHRIRAMFIN.NS,1.016003077917812
SUNPHARMA.NS,0.9714104065389787
TATACONSUM.NS,0.9344431478954792
TATASTEEL.NS,1.0013667139251698
TCS.NS,0.9904744086213381
TECHM.NS,1.0475571730820108
TITAN.NS,0.9461705516377206
TRENT.NS,1.0181659155781988
ULTRACEMCO.NS,0.9655607307717488
WIPRO.NS,1.0337383999028467
